iter	RMSE
0	0.3750094756
1	0.3621721869
2	0.3504588635
3	0.3388506811
4	0.3292571757
5	0.3188600895
6	0.3097717155
7	0.2996818749
8	0.290204821
9	0.282390581
10	0.2737074878
11	0.2655742015
12	0.2587867086
13	0.2521027593
14	0.2454003051
15	0.2388863385
16	0.2328683126
17	0.2274064147
18	0.2216573703
19	0.2162127732
20	0.2109614367
21	0.2062778522
22	0.2016888896
23	0.1975723045
24	0.193318178
25	0.1890180665
26	0.185121558
27	0.1811382888
28	0.1776000355
29	0.1744545353
30	0.1714599463
31	0.1685402944
32	0.1656963853
33	0.1631679739
34	0.1609381924
35	0.1587678491
36	0.1564695904
37	0.1543505425
38	0.1522667619
39	0.150334851
40	0.1484809115
41	0.1468583676
42	0.1452289808
43	0.1434289387
44	0.1419512838
45	0.1404548851
46	0.1390885816
47	0.1379912266
48	0.1365653389
49	0.1353125811
50	0.1342823454
51	0.13315063
52	0.1319974213
53	0.1308957229
54	0.1299546188
55	0.1289237739
56	0.1280978585
57	0.1271664244
58	0.1263069502
59	0.1255759038
60	0.1246458745
61	0.1238819238
62	0.1231450319
63	0.1222728712
64	0.1216649718
65	0.1211003926
66	0.1205258772
67	0.119904242
68	0.1191155125
69	0.11853244
70	0.1180778127
71	0.1175420128
72	0.1170841789
73	0.1164811974
74	0.1159716449
75	0.1155958503
76	0.1151680151
77	0.1146906736
78	0.1143670054
79	0.1138327678
80	0.113387628
81	0.1129698025
82	0.11258138
83	0.1121706669
84	0.1117782026
85	0.1115191982
86	0.1112108394
87	0.1109232426
88	0.1106061437
89	0.1102463607
90	0.1099127399
91	0.1096169361
92	0.1092496939
93	0.1089309368
94	0.1086504678
95	0.1082181098
96	0.107934769
97	0.107529172
98	0.1073292204
99	0.107007059
100	0.1067097245
101	0.106499925
102	0.1062580049
103	0.1059847568
104	0.1057223421
105	0.1054383435
106	0.1052238764
107	0.1050118522
108	0.1048150345
109	0.1045973815
110	0.1043957954
111	0.104103045
112	0.1038131847
113	0.1036473385
114	0.1035315291
115	0.1032723548
116	0.1031256672
117	0.1029737952
118	0.1028661793
119	0.1027284931
120	0.102644637
121	0.1024887319
122	0.1022977802
123	0.1020799393
124	0.1019726031
125	0.101807718
126	0.1016883358
127	0.101582494
128	0.1015131527
129	0.1013412173
130	0.1010830983
131	0.1009199249
132	0.1007215942
133	0.1004870556
134	0.1002317566
135	0.1000530879
136	0.0999436404
137	0.09983292287
138	0.0997569962
139	0.0995903557
140	0.09939130425
141	0.09910036605
142	0.09885025833
143	0.09867033841
144	0.09848742694
145	0.09830251088
146	0.09812706239
147	0.09796988841
148	0.0977541918
149	0.09762041948
150	0.09740609276
151	0.09726607973
152	0.09706724422
153	0.09690445707
154	0.09680076039
155	0.09671900948
156	0.09654547392
157	0.09636734065
158	0.09626515682
159	0.09614737743
160	0.09595698843
161	0.0958259831
162	0.0955931915
163	0.09546550659
164	0.09535135838
165	0.09516069402
166	0.0950565595
167	0.09489301415
168	0.0946502586
169	0.09455498664
170	0.09430463642
171	0.09424119345
172	0.09403040976
173	0.09384067528
174	0.09361757139
175	0.09355297191
176	0.09345942156
177	0.09327291919
178	0.09308088787
179	0.09298090262
180	0.09287982235
181	0.09277973198
182	0.09266968199
183	0.09259776362
184	0.09241901067
185	0.09219378001
186	0.09215937856
187	0.09199732473
188	0.09187600015
189	0.09183347511
190	0.09157113329
191	0.0915235514
192	0.0913078364
193	0.09127562121
194	0.09113488131
195	0.09110665568
196	0.09097002833
197	0.09063741855
198	0.090608658
199	0.09056641819
