iter	Passed	Remaining
0	0	100
1	1	106
2	1	102
3	2	100
4	2	97
5	2	96
6	3	95
7	3	95
8	4	94
9	4	93
10	5	92
11	5	92
12	6	91
13	6	91
14	7	90
15	7	90
16	8	89
17	8	89
18	9	89
19	9	88
20	10	88
21	10	87
22	11	86
23	11	86
24	12	85
25	12	84
26	13	84
27	13	83
28	14	83
29	14	83
30	15	82
31	15	82
32	16	81
33	16	81
34	17	81
35	17	80
36	18	79
37	18	79
38	19	78
39	19	78
40	20	77
41	20	76
42	20	76
43	21	75
44	21	75
45	22	74
46	22	73
47	23	73
48	23	72
49	24	72
50	24	72
51	25	71
52	25	70
53	26	70
54	26	69
55	26	69
56	27	68
57	27	68
58	28	67
59	28	67
60	29	66
61	29	66
62	30	65
63	30	65
64	31	64
65	31	64
66	32	63
67	32	63
68	33	62
69	33	62
70	34	61
71	34	61
72	35	61
73	35	61
74	36	60
75	37	60
76	37	60
77	38	59
78	38	59
79	39	58
80	39	58
81	40	57
82	40	57
83	41	56
84	41	56
85	42	55
86	42	55
87	43	54
88	43	54
89	44	54
90	44	53
91	45	53
92	45	52
93	46	52
94	46	51
95	47	51
96	47	50
97	48	50
98	48	49
99	49	49
100	49	48
101	50	48
102	50	47
103	51	47
104	51	46
105	52	46
106	52	45
107	53	45
108	53	44
109	54	44
110	54	43
111	55	43
112	55	42
113	56	42
114	56	41
115	57	41
116	57	40
117	57	40
118	58	39
119	58	39
120	59	38
121	59	38
122	60	37
123	60	37
124	61	36
125	61	36
126	62	35
127	62	35
128	63	34
129	63	34
130	64	33
131	64	33
132	65	32
133	65	32
134	66	31
135	66	31
136	67	30
137	67	30
138	68	29
139	68	29
140	69	28
141	69	28
142	69	27
143	70	27
144	70	26
145	71	26
146	71	25
147	72	25
148	72	24
149	73	24
150	73	23
151	74	23
152	74	22
153	75	22
154	75	21
155	76	21
156	76	20
157	77	20
158	77	19
159	77	19
160	78	19
161	78	18
162	79	18
163	80	17
164	80	17
165	81	16
166	81	16
167	82	15
168	82	15
169	83	14
170	83	14
171	84	13
172	84	13
173	85	12
174	85	12
175	86	11
176	86	11
177	87	10
178	87	10
179	88	9
180	88	9
181	89	8
182	89	8
183	89	7
184	90	7
185	90	6
186	91	6
187	91	5
188	92	5
189	92	4
190	93	4
191	93	3
192	94	3
193	94	2
194	95	2
195	95	1
196	96	1
197	96	0
198	97	0
199	97	0
